Category_1,Category_2,Category_3,url
"Sports, Books and More",Sports,Cricket ,"https://www.flipkart.com/sports/cricket/pr?sid=abc,5lf&p[]=facets.serviceability%5B%5D%3Dtrue&otracker=categorytree&otracker=nmenu_sub_Sports%2C%20Books%20%26%20More_0_Cricket"
"Sports, Books and More",Sports,Badminton ,"https://www.flipkart.com/sports/badminton/pr?sid=abc,egs&p[]=facets.serviceability%5B%5D%3Dtrue&otracker=categorytree&otracker=nmenu_sub_Sports%2C%20Books%20%26%20More_0_Badminton"
"Sports, Books and More",Sports,Cycling ,"https://www.flipkart.com/sports/cycling/pr?sid=abc,ulv&p[]=facets.serviceability%5B%5D%3Dtrue&otracker=categorytree&otracker=nmenu_sub_Sports%2C%20Books%20%26%20More_0_Cycling"
"Sports, Books and More",Sports,Football ,"https://www.flipkart.com/sports/football/pr?sid=abc,gxg&p[]=facets.serviceability%5B%5D%3Dtrue&otracker=categorytree&otracker=nmenu_sub_Sports%2C%20Books%20%26%20More_0_Football"
"Sports, Books and More",Sports,Skating ,"https://www.flipkart.com/sports/skating/pr?sid=abc,mgq&p[]=facets.serviceability%5B%5D%3Dtrue&otracker=categorytree&otracker=nmenu_sub_Sports%2C%20Books%20%26%20More_0_Skating"
"Sports, Books and More",Sports,Camping  and Hiking ,"https://www.flipkart.com/sports/camping-hiking/pr?sid=abc,fvf&p[]=facets.serviceability%5B%5D%3Dtrue&otracker=categorytree&otracker=nmenu_sub_Sports%2C%20Books%20%26%20More_0_Camping%20%26%20Hiking"
"Sports, Books and More",Sports,Swimming ,"https://www.flipkart.com/sports/swimming/pr?sid=abc,byq&p[]=facets.serviceability%5B%5D%3Dtrue&otracker=categorytree&otracker=nmenu_sub_Sports%2C%20Books%20%26%20More_0_Swimming"
"Sports, Books and More",Exercise Fitness ,Cardio Equipment ,https://www.flipkart.com/exercise-fitness/fitness-equipment/treadmills/pr?count=40&sid=qoc%2Camf%2Coyq&hpid=afw5r8bGYGyW4zsu4Z-536p7_Hsxr70nj65vMAAFKlc%3D&ctx=eyJjYXJkQ29udGV4dCI6eyJhdHRyaWJ1dGVzIjp7InZhbHVlQ2FsbG91dCI6eyJtdWx0aVZhbHVlZEF0dHJpYnV0ZSI6eyJrZXkiOiJ2YWx1ZUNhbGxvdXQiLCJpbmZlcmVuY2VUeXBlIjoiVkFMVUVfQ0FMTE9VVCIsInZhbHVlcyI6WyJVcHRvIDUwJSBPZmYiXSwidmFsdWVUeXBlIjoiTVVMVElfVkFMVUVEIn19LCJoZXJvUGlkIjp7InNpbmdsZVZhbHVlQXR0cmlidXRlIjp7ImtleSI6Imhlcm9QaWQiLCJpbmZlcmVuY2VUeXBlIjoiUElEIiwidmFsdWUiOiJUUkRGWjRGMzZTRDRKUEhLIiwidmFsdWVUeXBlIjoiU0lOR0xFX1ZBTFVFRCJ9fSwidGl0bGUiOnsibXVsdGlWYWx1ZWRBdHRyaWJ1dGUiOnsia2V5IjoidGl0bGUiLCJpbmZlcmVuY2VUeXBlIjoiVElUTEUiLCJ2YWx1ZXMiOlsiVHJlYWRtaWxsIl0sInZhbHVlVHlwZSI6Ik1VTFRJX1ZBTFVFRCJ9fX19fQ%3D%3D&fm=neo%2Fmerchandising&iid=M_afacb886-e286-483b-89c9-eb3a018c6e4a_1.4LN5YKZKHEWF&ppt=None&ppn=None&ssid=6focs1adhc0000001671290112117&otracker=dynamic_omu_infinite_Strength%2B%2526%2BCardio%2BEquipment_2_1.dealCard.OMU_INFINITE_4LN5YKZKHEWF&cid=4LN5YKZKHEWF
"Sports, Books and More",Exercise Fitness ,Home Gyms ,https://www.flipkart.com/exercise-fitness/fitness-equipment/fitness-kits/pr?sid=qoc%2Camf%2Cvh3&p[]=facets.serviceability%5B%5D%3Dtrue&otracker[]=categorytree&otracker[]=nmenu_sub_Sports%2C%20Books%20%26%20More_0_Home%20Gyms
"Sports, Books and More",Exercise Fitness ,Support ,"https://www.flipkart.com/exercise-fitness/fitness-accessories/supports/pr?sid=qoc,acb,aa3&p[]=facets.serviceability%5B%5D%3Dtrue&otracker=categorytree&otracker=nmenu_sub_Sports%2C%20Books%20%26%20More_0_Support"
"Sports, Books and More",Exercise Fitness ,Dumbbells ,"https://www.flipkart.com/exercise-fitness/fitness-accessories/dumbbells/pr?sid=qoc,acb,zuc&p[]=facets.serviceability%5B%5D%3Dtrue&otracker=categorytree&otracker=nmenu_sub_Sports%2C%20Books%20%26%20More_0_Dumbbells"
"Sports, Books and More",Exercise Fitness ,Ab Exercisers ,https://www.flipkart.com/exercise-fitness/fitness-equipment/ab-exercisers/pr?sid=qoc%2Camf%2Csma&p[]=facets.serviceability%5B%5D%3Dtrue&otracker[]=categorytree&otracker[]=nmenu_sub_Sports%2C%20Books%20%26%20More_0_Ab%20Exercisers
"Sports, Books and More",Exercise Fitness ,Shakers and Sippers ,"https://www.flipkart.com/exercise-fitness/fitness-accessories/shakers-and-sippers/pr?sid=qoc,acb,qat&p[]=facets.serviceability%5B%5D%3Dtrue&otracker=categorytree&otracker=nmenu_sub_Sports%2C%20Books%20%26%20More_0_Shakers%20%26%20Sippers"
"Sports, Books and More",Exercise Fitness ,Yoga Mat ,"https://www.flipkart.com/exercise-fitness/yoga/yoga-mats/pr?sid=qoc,s1h,fco&p[]=facets.serviceability%5B%5D%3Dtrue&otracker=categorytree&otracker=nmenu_sub_Sports%2C%20Books%20%26%20More_0_Yoga%20Mat"
"Sports, Books and More",Exercise Fitness ,Gym Gloves ,"https://www.flipkart.com/exercise-fitness/fitness-accessories/gym-gloves/pr?sid=qoc,acb,afr&p[]=facets.serviceability%5B%5D%3Dtrue&otracker=categorytree&otracker=nmenu_sub_Sports%2C%20Books%20%26%20More_0_Gym%20Gloves"
"Sports, Books and More",Food Essentials,Nuts and Dry Fruits ,https://www.flipkart.com/food-products/food-combo/~gourmet-foods-/pr?sid=eat%2Cymr&p[]=facets.serviceability%5B%5D%3Dtrue&otracker[]=categorytree&otracker[]=nmenu_sub_Sports%2C%20Books%20%26%20More_0_Nuts%20%26%20Dry%20Fruits
"Sports, Books and More",Food Essentials,snacks and beverages,https://www.flipkart.com/food-products/~gourmet-foods-/pr?sid=eat&p[]=facets.serviceability%5B%5D%3Dtrue&otracker[]=categorytree&otracker[]=nmenu_sub_Sports%2C%20Books%20%26%20More_0_Tea%2C%20Coffee%20and%20Beverages
"Sports, Books and More",Food Essentials,Chocolates ,https://www.flipkart.com/food-products/chocolates/~gourmet-foods-/pr?sid=eat%2C0pt&p[]=facets.serviceability%5B%5D%3Dtrue&otracker[]=categorytree&otracker[]=nmenu_sub_Sports%2C%20Books%20%26%20More_0_Chocolates
"Sports, Books and More",Food Essentials,Gifting Combos ,"https://www.flipkart.com/food-nutrition/food-nutrition-combo/~gourmet-foods-/pr?sid=7jv,jid&p[]=facets.serviceability%5B%5D%3Dtrue&otracker=categorytree&otracker=nmenu_sub_Sports%2C%20Books%20%26%20More_0_Gifting%20Combos"
"Sports, Books and More",Food Essentials,Sweets Store ,https://www.flipkart.com/food-products/sweets-and-mixes/packaged-sweets/~gourmet-foods-/pr?sid=eat%2Cpta%2Cqoz&p[]=facets.serviceability%5B%5D%3Dtrue&otracker[]=categorytree&otracker[]=nmenu_sub_Sports%2C%20Books%20%26%20More_0_Sweets%20Store
