category_1,category_2,category_3,title,product_rating,selling_price,seller_rating,description
4,48,47,"[15085, 1335, 1319, 4225, 11612, 1319, 9855, 685, 1335, 5233, 343]",4.4,152,4.4,"[111, 77, 111, 343, 1335, 1319, 5068, 1032]"
4,48,47,"[7667, 11613, 234, 71, 251, 782, 5234, 1335, 1320, 2777, 183, 5234, 4951, 1335, 4952, 20, 26, 237]",3.4,329,4.7,"[2, 7667, 5234, 4951, 1335, 1320, 35, 291, 60, 3, 179, 12, 99, 1, 304, 13, 1335, 1320, 35, 291, 266, 6, 7, 5234, 4951, 782, 16, 35, 540, 1152, 199, 1189, 747, 2680, 42, 6, 2, 17326, 12830, 310, 12, 14, 240, 2, 1320, 12831, 1, 6, 752, 13, 146, 23, 1335, 1320, 9, 109, 4, 3362, 1627, 6, 17327, 772]"
4,48,47,"[3359, 77, 1335, 1320, 334, 310, 11614, 221, 6976, 1335, 334, 302, 9856, 41, 5, 74]",4.1,369,4.1,"[3359, 77, 1335, 1197, 11614, 1320, 152, 74, 581, 5, 310, 334, 11, 9, 36, 449, 23, 1, 639, 1909, 581, 5, 1443, 4, 659, 348, 582, 180, 1335, 7278, 1, 67, 2, 2486, 3, 24, 1, 5077, 11, 4, 59, 5389, 5, 58, 11, 14, 22, 104, 2998, 3, 2, 1320, 108, 559, 1063]"
4,48,47,"[4446, 234, 71, 408, 365, 119, 1335, 1320, 4, 421, 329, 408, 119, 1335, 4952, 2848, 225]",4.0,249,4.8,"[4446, 365, 119, 234, 71, 1335, 1320, 167, 4, 421, 329, 18, 905, 12818, 49, 175, 579, 4, 4447, 608, 2670, 608, 57, 608]"
4,48,47,"[4446, 3605, 1335, 1320, 71, 32, 4, 421, 1300, 135, 335, 408, 119, 1335, 4952, 738, 225]",3.9,249,4.8,"[4446, 3605, 1335, 1320, 71, 32, 4, 421, 1300, 135, 335]"
4,48,47,"[1536, 77, 4953, 7668, 395, 1213, 508, 271, 307, 119, 1335, 1320, 408, 119, 1335, 4952, 20, 237]",4.0,349,4.5,"[10451, 625, 12, 4953, 7668, 395, 1213, 508, 271, 307, 119, 1335, 1320, 135, 546, 51, 395, 1213, 1335, 1320, 4, 161, 1121, 348, 4810, 1335, 2, 1320, 9, 30, 5, 504, 365, 119, 28, 82, 11, 1676, 1, 59, 215, 2, 95, 5, 13, 1320, 9, 826, 7992, 1, 1320, 71, 395, 1213, 119, 2020, 1320, 9, 53, 1335, 1320, 3, 183, 6, 119, 608, 6977, 608, 2670, 608, 1, 4447, 608, 2, 71, 5, 1320, 9, 135, 546, 73, 13, 1320, 9, 30, 1, 60, 6, 116, 113, 23, 119, 73, 1018, 1, 12832, 2, 608, 9, 145, 1101, 3, 182, 12, 142, 1, 296, 54, 99, 10, 695, 2622, 13, 1320, 29, 179, 806, 54, 99, 3, 12, 161, 2976, 6, 2021, 2622, 12833, 1320, 9, 30, 6, 395, 1213, 119, 28, 82, 2, 1320, 54, 86, 1, 59, 215]"
4,48,47,"[11615, 533, 8537, 430, 344, 204, 6, 662, 344, 52, 106, 8537, 430, 2267, 52]",4.3,589,4.8,"[113, 23, 61, 11, 70, 10, 497, 172, 784, 1, 950, 2422, 2, 186, 5, 25]"
4,48,47,"[7667, 2371, 11613, 116, 207, 408, 52, 783, 234, 71, 408, 119, 1335, 4952, 2848, 225]",3.9,387,4.7,"[73, 133, 23, 365, 119, 1320, 92, 68, 92, 2848, 2942, 4460, 71, 135, 62, 172, 5, 64, 119, 1335, 7278, 9, 1160, 156, 456, 23, 493, 16, 17, 2902, 19, 2, 1036, 10452, 10, 2, 1283, 100, 729, 64, 3, 62, 5390, 48, 4336, 4138, 10, 2, 1283, 64, 17, 2022, 10453, 4, 180, 59, 1625, 129, 362, 1, 1910]"
4,48,47,"[3359, 77, 1335, 1320, 334, 465, 6976, 1335, 334, 6976, 281, 6976, 15086, 41, 5, 74]",4.1,439,4.1,"[3359, 77, 1335, 465, 1320, 334, 152, 74, 581, 5, 310, 334, 11, 9, 36, 449, 23, 1, 639, 1909, 581, 5, 1443, 4, 659, 348, 582, 180, 1335, 7278, 1, 67, 2, 2486, 3, 24, 1, 5077, 11, 4, 59, 5389, 5, 58, 11, 14, 22, 104, 2998, 3, 2, 1320, 108, 559, 1063]"
4,48,47,"[4446, 5545, 408, 1335, 1320, 71, 49, 4, 421, 1300, 111, 188, 453, 408, 119, 1335, 4952, 738, 225]",4.0,249,4.8,"[4446, 5545, 408, 1335, 1320, 1189, 2021, 806, 54, 99, 230, 7, 460, 1320]"
4,48,47,"[15087, 9857, 15088, 234, 71, 5234, 4951, 1335, 1320, 5234, 4951, 1335, 4952, 20, 237]",3.5,419,4.7,"[13, 1335, 1320, 9, 7, 33, 23, 271, 20, 5234, 4951, 1320, 11, 35, 693, 1320, 3542, 4, 25, 526, 183, 1, 17328, 11, 9, 2, 17329, 5, 9857, 5234, 4951, 172, 51, 557, 3542, 589, 1152, 1, 449, 1451, 72, 11, 109, 4, 2, 2623, 1550, 348, 6163, 3, 268, 240, 1, 1524, 39, 3968, 48, 2, 358, 5, 5576, 75, 17330, 2, 9857, 7278, 684, 7993, 10, 23, 603, 6, 7, 583, 242, 526, 310, 1, 25, 526, 3542, 13, 1320, 9, 7, 10454, 6655]"
4,48,47,"[3359, 77, 1335, 1320, 334, 310, 260, 95, 3469, 221, 6976, 1335, 334, 302, 9856, 41, 5, 74]",4.1,489,4.1,"[3359, 77, 1335, 260, 3469, 1320, 152, 74, 581, 5, 310, 334, 11, 9, 36, 449, 23, 1, 639, 1909, 581, 5, 1443, 4, 659, 348, 582, 180, 1335, 7278, 1, 67, 2, 2486, 3, 24, 1, 5077, 11, 4, 59, 5389, 5, 58, 11, 14, 22, 104, 2998, 3, 2, 1320, 108, 559, 1063]"
4,48,47,"[11616, 107, 234, 1018, 71, 251, 782, 4035, 1320, 5234, 4951, 1335, 4952, 2942, 225]",3.3,449,4.7,"[20, 996, 4, 25, 1447, 11, 9, 996, 4, 25, 421, 1778, 76, 618, 475, 1, 944, 13, 460, 1320, 35, 7, 202, 293, 6, 75, 23, 1544, 4, 1911, 1, 944, 104, 183, 1335, 6, 13, 460, 1320, 13, 1320, 9, 251, 10455, 1, 967, 26, 112, 529, 2549, 181, 7, 221, 142, 88, 797, 1335, 33, 23, 1617, 4951, 73, 181, 12, 183, 54, 1, 170, 2, 1962, 12, 14, 104, 128, 277, 1262, 156, 11616, 1320, 1, 7279, 2, 608, 116, 145, 449, 557, 310, 334, 9, 75, 477, 16, 2306, 362]"
4,48,47,"[4446, 3605, 826, 1335, 1320, 71, 32, 4, 421, 1300, 135, 335, 408, 119, 1335, 4952, 799, 225]",4.0,260,4.8,"[113, 23, 61, 11, 70, 10, 497, 172, 1, 784, 1, 950, 2422, 2, 186, 5, 25]"
4,48,47,"[6977, 68, 92, 1335, 4447, 11617, 41, 5, 74, 826]",4.1,419,4.3,"[2, 3900, 5, 7, 7994, 1121, 9, 3, 183, 365, 1639, 2023, 1, 101, 16, 608, 248, 2, 881, 951, 7, 130, 9070, 706, 3, 128, 11, 6, 9, 37, 4139, 3, 1176, 2, 4140, 2352, 2, 6977, 10456, 7994, 608, 29, 103, 2, 1121, 3, 2624, 780, 17331, 1, 765, 780, 296, 69, 604, 48, 7, 58, 1678, 159, 7995, 6, 159, 1761, 6656, 2, 6977, 10456, 7994, 608, 4337, 7, 557, 1, 2353, 296, 2, 1121, 7996, 869, 35, 7, 608, 16, 14, 2354, 2, 10457, 1, 10458, 6164, 6, 2, 162, 11, 82, 2, 608, 3114, 21, 86, 1, 59, 215, 6, 21, 211, 148, 1, 1062, 15, 2, 608, 21, 1439, 73, 2, 6977, 10456, 7994, 608, 9, 30, 19, 2, 962, 1678, 73, 28, 9, 7280, 572, 2675, 2757, 1, 1506, 644, 1905, 6, 973, 4575, 51, 33, 293, 4123, 205, 16, 2, 608, 1826, 1094, 952, 51, 4338]"
4,48,47,"[5946, 487, 395, 1335, 4447, 608, 1335, 4447, 11617, 41, 5, 74, 292]",4.0,478,4.4,"[2307, 5, 5946, 1335, 608, 5946, 9, 824, 321, 16, 3969, 456, 23, 443, 125, 160, 182, 25, 352, 1, 1834, 4, 25, 443, 3, 180, 1555, 1, 6657, 6, 54, 230, 32, 3415, 6657, 25, 248, 5946, 35, 1556, 69, 5, 2, 198, 904, 321, 4, 25, 443, 1296, 4811, 1962, 12834, 1, 447, 10459, 7281, 1962, 3543, 24, 180, 1834, 3, 72, 180, 3544]"
4,48,47,"[3359, 77, 1335, 1320, 334, 310, 2268, 221, 6976, 1335, 334, 302, 9856, 41, 5, 74]",4.1,339,4.1,"[3359, 77, 1335, 2268, 1320, 152, 74, 581, 5, 310, 334, 11, 9, 36, 449, 23, 1, 639, 1909, 581, 5, 1443, 4, 659, 348, 582, 180, 1335, 7278, 1, 67, 2, 2486, 3, 24, 1, 5077, 11, 4, 59, 5389, 5, 58, 11, 14, 22, 104, 2998, 3, 2, 1320, 108, 559, 1063]"
4,48,47,"[11618, 3733, 15089, 15090, 1320, 71, 49, 4, 385, 188, 335, 618, 475, 4447, 608, 6, 143, 572, 578, 5234, 4951, 1335, 4952, 5546, 5235, 225]",3.7,319,4.7,"[11618, 71, 49, 17332, 17333, 4951, 1335, 1320]"
